PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,GRADES_PK_AM,GRADES_KG_AM,GRADES_4_AM,GRADES_8_AM,GRADES_12_AM,GRADES_1_8_AM,GRADES_9_12_AM,GRADES_ALL_AM,GRADES_PK_AS,GRADES_KG_AS,GRADES_4_AS,GRADES_8_AS,GRADES_12_AS,GRADES_1_8_AS,GRADES_9_12_AS,GRADES_ALL_AS,GRADES_PK_HI,GRADES_KG_HI,GRADES_4_HI,GRADES_8_HI,GRADES_12_HI,GRADES_1_8_HI,GRADES_9_12_HI,GRADES_ALL_HI,GRADES_PK_BL,GRADES_KG_BL,GRADES_4_BL,GRADES_8_BL,GRADES_12_BL,GRADES_1_8_BL,GRADES_9_12_BL,GRADES_ALL_BL,GRADES_PK_WH,GRADES_KG_WH,GRADES_4_WH,GRADES_8_WH,GRADES_12_WH,GRADES_1_8_WH,GRADES_9_12_WH,GRADES_ALL_WH,GRADES_PK_HP,GRADES_KG_HP,GRADES_4_HP,GRADES_8_HP,GRADES_12_HP,GRADES_1_8_HP,GRADES_9_12_HP,GRADES_ALL_HP,GRADES_PK_TR,GRADES_KG_TR,GRADES_4_TR,GRADES_8_TR,GRADES_12_TR,GRADES_1_8_TR,GRADES_9_12_TR,GRADES_ALL_TR,GRADES_PK_AMM,GRADES_KG_AMM,GRADES_4_AMM,GRADES_8_AMM,GRADES_12_AMM,GRADES_1_8_AMM,GRADES_9_12_AMM,GRADES_ALL_AMM,GRADES_PK_AMF,GRADES_KG_AMF,GRADES_4_AMF,GRADES_8_AMF,GRADES_12_AMF,GRADES_1_8_AMF,GRADES_9_12_AMF,GRADES_ALL_AMF,GRADES_PK_ASM,GRADES_KG_ASM,GRADES_4_ASM,GRADES_8_ASM,GRADES_12_ASM,GRADES_1_8_ASM,GRADES_9_12_ASM,GRADES_ALL_ASM,GRADES_PK_ASF,GRADES_KG_ASF,GRADES_4_ASF,GRADES_8_ASF,GRADES_12_ASF,GRADES_1_8_ASF,GRADES_9_12_ASF,GRADES_ALL_ASF,GRADES_PK_HIM,GRADES_KG_HIM,GRADES_4_HIM,GRADES_8_HIM,GRADES_12_HIM,GRADES_1_8_HIM,GRADES_9_12_HIM,GRADES_ALL_HIM,GRADES_PK_HIF,GRADES_KG_HIF,GRADES_4_HIF,GRADES_8_HIF,GRADES_12_HIF,GRADES_1_8_HIF,GRADES_9_12_HIF,GRADES_ALL_HIF,GRADES_PK_BLM,GRADES_KG_BLM,GRADES_4_BLM,GRADES_8_BLM,GRADES_12_BLM,GRADES_1_8_BLM,GRADES_9_12_BLM,GRADES_ALL_BLM,GRADES_PK_BLF,GRADES_KG_BLF,GRADES_4_BLF,GRADES_8_BLF,GRADES_12_BLF,GRADES_1_8_BLF,GRADES_9_12_BLF,GRADES_ALL_BLF,GRADES_PK_WHM,GRADES_KG_WHM,GRADES_4_WHM,GRADES_8_WHM,GRADES_12_WHM,GRADES_1_8_WHM,GRADES_9_12_WHM,GRADES_ALL_WHM,GRADES_PK_WHF,GRADES_KG_WHF,GRADES_4_WHF,GRADES_8_WHF,GRADES_12_WHF,GRADES_1_8_WHF,GRADES_9_12_WHF,GRADES_ALL_WHF,GRADES_PK_HPM,GRADES_KG_HPM,GRADES_4_HPM,GRADES_8_HPM,GRADES_12_HPM,GRADES_1_8_HPM,GRADES_9_12_HPM,GRADES_ALL_HPM,GRADES_PK_HPF,GRADES_KG_HPF,GRADES_4_HPF,GRADES_8_HPF,GRADES_12_HPF,GRADES_1_8_HPF,GRADES_9_12_HPF,GRADES_ALL_HPF,GRADES_PK_TRM,GRADES_KG_TRM,GRADES_4_TRM,GRADES_8_TRM,GRADES_12_TRM,GRADES_1_8_TRM,GRADES_9_12_TRM,GRADES_ALL_TRM,GRADES_PK_TRF,GRADES_KG_TRF,GRADES_4_TRF,GRADES_8_TRF,GRADES_12_TRF,GRADES_1_8_TRF,GRADES_9_12_TRF,GRADES_ALL_TRF,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
2009_ALABAMA,ALABAMA,2009,745668.0,7186390.0,728795.0,4161103.0,2296492.0,7815467.0,3836398.0,2331552.0,561019.0,924956.0,7774.0,57019.0,59512.0,57027.0,48164.0,464601.0,219495.0,691870.0,42.0,340.0,466.0,512.0,465.0,3644.0,2079.0,5765.0,84.0,798.0,765.0,680.0,660.0,5818.0,2685.0,8587.0,429.0,3639.0,2771.0,2041.0,1161.0,21370.0,6357.0,28156.0,3277.0,18400.0,20549.0,19994.0,17131.0,159723.0,79631.0,242631.0,3853.0,33300.0,34661.0,33672.0,28684.0,271943.0,128361.0,404157.0,,,,,,,,,,,,,,,,,18.0,170.0,221.0,242.0,221.0,1819.0,1070.0,2907.0,24.0,170.0,245.0,270.0,244.0,1825.0,1009.0,2858.0,36.0,388.0,397.0,365.0,323.0,2933.0,1324.0,4293.0,48.0,410.0,368.0,315.0,337.0,2885.0,1361.0,4294.0,215.0,1882.0,1418.0,1099.0,595.0,11060.0,3358.0,14633.0,214.0,1757.0,1353.0,942.0,566.0,10310.0,2999.0,13523.0,1753.0,9627.0,10403.0,10174.0,8057.0,81674.0,39285.0,122712.0,1524.0,8773.0,10146.0,9820.0,9074.0,78049.0,40346.0,119919.0,2291.0,17446.0,17774.0,17522.0,14412.0,140488.0,65679.0,208458.0,1562.0,15854.0,16887.0,16150.0,14272.0,131455.0,62682.0,195699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.962650411086,268.524120315168,216.273355869774,267.577473732317
2009_ALASKA,ALASKA,2009,130236.0,2158970.0,312667.0,1357747.0,488556.0,2396412.0,1129756.0,832783.0,70835.0,303165.0,2475.0,9804.0,10046.0,9626.0,9779.0,78545.0,40837.0,121857.0,857.0,1960.0,2365.0,2236.0,2202.0,18176.0,9319.0,28352.0,77.0,484.0,586.0,593.0,664.0,4689.0,2581.0,7347.0,116.0,526.0,642.0,580.0,522.0,4852.0,2190.0,7158.0,77.0,367.0,411.0,326.0,363.0,2975.0,1540.0,4592.0,1141.0,5511.0,5146.0,5143.0,5338.0,41032.0,22371.0,64544.0,47.0,238.0,194.0,173.0,187.0,1614.0,760.0,2421.0,160.0,718.0,702.0,575.0,503.0,5207.0,2076.0,7443.0,475.0,1017.0,1243.0,1155.0,1099.0,9394.0,4745.0,14614.0,382.0,943.0,1122.0,1081.0,1103.0,8782.0,4574.0,13738.0,41.0,244.0,290.0,295.0,345.0,2324.0,1306.0,3671.0,36.0,240.0,296.0,298.0,319.0,2365.0,1275.0,3676.0,82.0,288.0,325.0,292.0,260.0,2468.0,1137.0,3687.0,34.0,238.0,317.0,288.0,262.0,2384.0,1053.0,3471.0,45.0,185.0,198.0,157.0,199.0,1494.0,824.0,2363.0,32.0,182.0,213.0,169.0,164.0,1481.0,716.0,2229.0,693.0,2875.0,2639.0,2684.0,2735.0,21329.0,11469.0,33491.0,448.0,2636.0,2507.0,2459.0,2603.0,19703.0,10902.0,31053.0,28.0,101.0,101.0,73.0,95.0,837.0,396.0,1261.0,19.0,137.0,93.0,100.0,92.0,777.0,364.0,1160.0,98.0,365.0,378.0,284.0,251.0,2661.0,1058.0,3817.0,62.0,353.0,324.0,291.0,252.0,2546.0,1018.0,3626.0,237.21228433612202,283.047662800849,211.127368273139,256.10686155675097
2009_ARIZONA,ARIZONA,2009,981303.0,8802515.0,1044140.0,3806064.0,3952311.0,9580393.0,4296503.0,2983729.0,455403.0,1312659.0,9175.0,84191.0,83686.0,82163.0,79283.0,666897.0,317397.0,993469.0,524.0,4438.0,4330.0,4367.0,4885.0,35059.0,18751.0,54334.0,212.0,2753.0,2585.0,2512.0,2220.0,20860.0,9703.0,30775.0,3668.0,36728.0,35635.0,33127.0,30731.0,281936.0,123733.0,409337.0,433.0,4817.0,5033.0,4903.0,5024.0,39567.0,19537.0,59537.0,4338.0,35455.0,36103.0,37254.0,36423.0,289475.0,145673.0,439486.0,,,,,,,,,,,,,,,,,354.0,2330.0,2216.0,2244.0,2455.0,17811.0,9355.0,27520.0,170.0,2108.0,2114.0,2123.0,2430.0,17248.0,9396.0,26814.0,136.0,1398.0,1255.0,1247.0,1148.0,10388.0,4965.0,15489.0,76.0,1355.0,1330.0,1265.0,1072.0,10472.0,4738.0,15286.0,2506.0,19134.0,18140.0,16848.0,15915.0,143907.0,63633.0,210046.0,1162.0,17594.0,17495.0,16279.0,14816.0,138029.0,60100.0,199291.0,286.0,2567.0,2607.0,2493.0,2626.0,20457.0,10099.0,30842.0,147.0,2250.0,2426.0,2410.0,2398.0,19110.0,9438.0,28695.0,2987.0,18472.0,18521.0,19087.0,18774.0,149389.0,74921.0,227297.0,1351.0,16983.0,17582.0,18167.0,17649.0,140086.0,70752.0,212189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.991105224216,277.332281962623,209.989269506089,267.16702974162
2009_ARKANSAS,ARKANSAS,2009,474423.0,4753142.0,534510.0,3530487.0,688145.0,5017352.0,2417974.0,1492691.0,533057.0,409763.0,13504.0,38115.0,36479.0,35715.0,30567.0,292256.0,136213.0,441973.0,59.0,246.0,268.0,265.0,197.0,2156.0,924.0,3139.0,166.0,548.0,538.0,414.0,502.0,3922.0,1981.0,6069.0,1680.0,4315.0,3520.0,2968.0,2050.0,27896.0,10486.0,40062.0,3806.0,7883.0,7748.0,7692.0,6506.0,62983.0,30266.0,97055.0,7658.0,24361.0,23840.0,23864.0,20936.0,190863.0,90749.0,289270.0,36.0,192.0,175.0,174.0,98.0,1372.0,537.0,1945.0,99.0,570.0,390.0,338.0,278.0,3064.0,1270.0,4433.0,32.0,123.0,144.0,138.0,99.0,1081.0,458.0,1571.0,27.0,123.0,124.0,127.0,98.0,1075.0,466.0,1568.0,79.0,237.0,243.0,220.0,251.0,1986.0,999.0,3064.0,87.0,311.0,295.0,194.0,251.0,1936.0,982.0,3005.0,829.0,2248.0,1785.0,1549.0,1013.0,14276.0,5439.0,20544.0,851.0,2067.0,1735.0,1419.0,1037.0,13620.0,5047.0,19518.0,1859.0,4015.0,3910.0,3870.0,3053.0,31952.0,15054.0,48865.0,1947.0,3868.0,3838.0,3822.0,3453.0,31031.0,15212.0,48190.0,3822.0,12712.0,12255.0,12104.0,10478.0,98336.0,46336.0,148494.0,3836.0,11649.0,11585.0,11760.0,10458.0,92527.0,44413.0,140776.0,19.0,104.0,98.0,90.0,55.0,734.0,270.0,1023.0,17.0,88.0,77.0,84.0,43.0,638.0,267.0,922.0,52.0,303.0,197.0,170.0,128.0,1528.0,619.0,2199.0,47.0,267.0,193.0,168.0,150.0,1536.0,651.0,2234.0,237.54059191157398,275.999499994013,216.15158139298802,269.568729685871
2009_CALIFORNIA,CALIFORNIA,2009,6234155.0,73958896.0,9745250.0,40084244.0,24129402.0,74766086.0,35617964.0,21693675.0,3759373.0,8881265.0,71783.0,471058.0,465866.0,472856.0,478503.0,3717166.0,1997064.0,5786013.0,,3051.0,3128.0,3562.0,3957.0,25829.0,16001.0,,,47558.0,52456.0,53452.0,57717.0,406920.0,228334.0,,,252163.0,239448.0,235233.0,216751.0,1906512.0,957234.0,,,26472.0,30618.0,33296.0,36247.0,247759.0,149709.0,,,117599.0,120420.0,130808.0,148010.0,975025.0,579042.0,,,2602.0,2707.0,2764.0,3152.0,21669.0,12715.0,,,21613.0,17089.0,13741.0,12669.0,133452.0,54029.0,,,1570.0,1604.0,1846.0,1950.0,13243.0,8102.0,,,1481.0,1524.0,1716.0,2007.0,12586.0,7899.0,,,24533.0,27075.0,27586.0,29671.0,210169.0,118399.0,,,23025.0,25381.0,25866.0,28046.0,196751.0,109935.0,,,129521.0,122064.0,119685.0,110316.0,973574.0,489524.0,,,122642.0,117384.0,115548.0,106435.0,932938.0,467710.0,,,13857.0,15472.0,17003.0,18525.0,126582.0,76507.0,,,12615.0,15146.0,16293.0,17722.0,121177.0,73202.0,,,61687.0,62264.0,67693.0,76674.0,504136.0,298998.0,,,55912.0,58156.0,63115.0,71336.0,470889.0,280044.0,,,1377.0,1448.0,1408.0,1573.0,11271.0,6451.0,,,1225.0,1259.0,1356.0,1579.0,10398.0,6264.0,,,11277.0,8876.0,7038.0,6462.0,68446.0,27430.0,,,10336.0,8213.0,6703.0,6207.0,65006.0,26599.0,,231.674927207631,270.448588146426,209.762405377999,254.89524659554002
2009_COLORADO,COLORADO,2009,812068.0,8310673.0,560538.0,3634018.0,4116117.0,8682489.0,4108304.0,2708535.0,330128.0,1035058.0,29701.0,64190.0,62929.0,59129.0,58526.0,497487.0,240990.0,768178.0,253.0,693.0,717.0,736.0,730.0,5627.0,3031.0,8911.0,1011.0,2415.0,2388.0,2146.0,2028.0,18998.0,8396.0,28405.0,10573.0,19103.0,18962.0,16066.0,14072.0,145858.0,62263.0,218694.0,1519.0,3434.0,3788.0,3551.0,3761.0,29399.0,15061.0,45979.0,16345.0,38545.0,37074.0,36630.0,37935.0,297605.0,152239.0,466189.0,,,,,,,,,,,,,,,,,136.0,336.0,387.0,384.0,364.0,2874.0,1536.0,4546.0,117.0,357.0,330.0,352.0,366.0,2753.0,1495.0,4365.0,520.0,1169.0,1137.0,1016.0,1002.0,9136.0,4163.0,13819.0,491.0,1246.0,1251.0,1130.0,1026.0,9862.0,4233.0,14586.0,5586.0,9881.0,9535.0,8271.0,7003.0,74363.0,31816.0,111765.0,4987.0,9222.0,9427.0,7795.0,7069.0,71495.0,30447.0,106929.0,798.0,1806.0,1955.0,1769.0,1909.0,15000.0,7634.0,23432.0,721.0,1628.0,1833.0,1782.0,1852.0,14399.0,7427.0,22547.0,9013.0,19850.0,19222.0,18787.0,19393.0,152953.0,78049.0,240015.0,7332.0,18695.0,17852.0,17843.0,18542.0,144652.0,74190.0,226174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.132439997085,287.372907515934,225.69664059033198,259.449426538116
2009_CONNECTICUT,CONNECTICUT,2009,539250.0,9681268.0,403017.0,3606594.0,5671657.0,9323053.0,5054397.0,2805173.0,330685.0,763075.0,15689.0,39866.0,41510.0,42999.0,41029.0,334409.0,174004.0,524102.0,69.0,166.0,140.0,160.0,129.0,1292.0,630.0,1991.0,810.0,2092.0,2018.0,1706.0,1539.0,15348.0,6347.0,22505.0,3766.0,8248.0,7364.0,6931.0,5603.0,59971.0,27394.0,91131.0,2561.0,5506.0,5665.0,5777.0,5383.0,45909.0,24458.0,72928.0,8483.0,23854.0,26323.0,28425.0,28375.0,211889.0,115175.0,335547.0,,,,,,,,,,,,,,,,,43.0,89.0,69.0,73.0,55.0,644.0,315.0,1002.0,26.0,77.0,71.0,87.0,74.0,648.0,315.0,989.0,431.0,1060.0,979.0,835.0,786.0,7480.0,3164.0,11075.0,379.0,1032.0,1039.0,871.0,753.0,7868.0,3183.0,11430.0,2014.0,4226.0,3754.0,3593.0,2883.0,30656.0,14248.0,46918.0,1752.0,4022.0,3610.0,3338.0,2720.0,29315.0,13146.0,44213.0,1378.0,2886.0,2965.0,2976.0,2626.0,23790.0,12661.0,37829.0,1183.0,2620.0,2700.0,2801.0,2757.0,22119.0,11797.0,35099.0,4780.0,12464.0,13599.0,14598.0,14532.0,109418.0,58922.0,173120.0,3703.0,11390.0,12724.0,13827.0,13843.0,102471.0,56253.0,162427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.717742733409,288.608513451696,228.97211669940896,257.595275452299
2009_DELAWARE,DELAWARE,2009,116804.0,1718993.0,109682.0,1047418.0,561893.0,1798244.0,877678.0,496383.0,80812.0,254460.0,755.0,9537.0,9672.0,9519.0,8317.0,77418.0,39091.0,117264.0,1.0,40.0,36.0,34.0,27.0,273.0,136.0,410.0,16.0,339.0,356.0,303.0,315.0,2714.0,1324.0,4054.0,163.0,1452.0,1184.0,986.0,597.0,9330.0,3386.0,12879.0,234.0,3090.0,3288.0,3126.0,2478.0,26063.0,12825.0,39122.0,341.0,4616.0,4808.0,5070.0,4900.0,39038.0,21420.0,60799.0,,,,,,,,,,,,,,,,,1.0,18.0,14.0,19.0,14.0,139.0,74.0,214.0,0.0,22.0,22.0,15.0,13.0,134.0,62.0,196.0,11.0,155.0,180.0,155.0,154.0,1413.0,696.0,2120.0,5.0,184.0,176.0,148.0,161.0,1301.0,628.0,1934.0,104.0,727.0,591.0,509.0,300.0,4724.0,1696.0,6524.0,59.0,725.0,593.0,477.0,297.0,4606.0,1690.0,6355.0,150.0,1550.0,1717.0,1579.0,1179.0,13388.0,6435.0,19973.0,84.0,1540.0,1571.0,1547.0,1299.0,12675.0,6390.0,19149.0,240.0,2416.0,2498.0,2523.0,2401.0,20175.0,10915.0,31330.0,101.0,2200.0,2310.0,2547.0,2499.0,18863.0,10505.0,29469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.490569439364,283.829472979958,225.513086784412,258.048580163614
2009_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2009,44331.0,801008.0,75856.0,0.0,725152.0,805362.0,330698.0,370127.0,38514.0,66023.0,8499.0,5190.0,4893.0,4452.0,3301.0,37698.0,17597.0,63794.0,5.0,2.0,4.0,1.0,0.0,24.0,11.0,40.0,137.0,109.0,80.0,64.0,58.0,623.0,240.0,1000.0,1244.0,622.0,592.0,447.0,317.0,4343.0,1761.0,7348.0,6333.0,3835.0,3860.0,3777.0,2806.0,30025.0,15035.0,51393.0,762.0,622.0,355.0,163.0,120.0,2674.0,550.0,3986.0,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,0.0,11.0,6.0,21.0,1.0,1.0,3.0,0.0,0.0,13.0,5.0,19.0,74.0,55.0,41.0,25.0,33.0,299.0,119.0,492.0,63.0,54.0,39.0,39.0,25.0,324.0,121.0,508.0,641.0,317.0,315.0,237.0,150.0,2219.0,873.0,3733.0,603.0,305.0,277.0,210.0,167.0,2124.0,888.0,3615.0,3122.0,1930.0,1919.0,1842.0,1248.0,14992.0,7064.0,25178.0,3211.0,1905.0,1941.0,1935.0,1558.0,15033.0,7971.0,26215.0,379.0,325.0,181.0,78.0,61.0,1410.0,263.0,2052.0,383.0,297.0,174.0,85.0,59.0,1264.0,287.0,1934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.260141025805,253.595186871272,201.984637739722,252.631380782334
2009_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2009,44331.0,801008.0,75856.0,0.0,725152.0,805362.0,330698.0,370127.0,38514.0,66023.0,91.0,4528.0,3423.0,2860.0,2188.0,26762.0,9970.0,36823.0,91.0,4528.0,3423.0,2860.0,2188.0,26762.0,9970.0,36823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,48.0,2360.0,1722.0,1433.0,1017.0,13511.0,4919.0,18478.0,43.0,2168.0,1701.0,1427.0,1171.0,13251.0,5051.0,18345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.260141025805,253.595186871272,201.984637739722,252.631380782334
